"SCHOOL","AllAD_MF","MENTIONS_F","MENTIONS_M","PctOfMentions_F","PctOfMentions_M"
"Illinois",524,208,316,0.396946564885496,0.603053435114504
"Indiana",320,110,210,0.34375,0.65625
"Iowa",141,67,74,0.475177304964539,0.524822695035461
"Maryland",296,83,213,0.280405405405405,0.719594594594595
"Michigan",964,307,657,0.318464730290456,0.681535269709544
"Michigan State",336,156,180,0.464285714285714,0.535714285714286
"Minnesota",416,221,195,0.53125,0.46875
"Nebraska",530,256,274,0.483018867924528,0.516981132075472
"Northwestern",616,370,246,0.600649350649351,0.399350649350649
"Ohio State",816,295,521,0.361519607843137,0.638480392156863
"Penn State",1063,540,523,0.507996237064911,0.492003762935089
"Purdue",122,38,84,0.311475409836066,0.688524590163934
"Rutgers",902,428,474,0.47450110864745,0.52549889135255
"Wisconsin",313,123,190,0.39297124600639,0.60702875399361
