DISTRICT,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"001902",595,4,0.7,5,0.8,34,5.7,5,0.8,227,38.2,53,8.9,45,7.6,0,0,5,0.8,368,61.8,0,0,162,27.2,73,12.3,30,5,180,30.3,482,81
"001903",1236,10,0.8,16,1.3,54,4.4,5,0.4,636,51.5,52,4.2,112,9.1,2,0.2,16,1.3,600,48.5,2,0.2,344,27.8,113,9.1,47,3.8,315,25.5,1009,81.6
"001904",751,2,0.3,14,1.9,79,10.5,1,0.1,443,59,26,3.5,79,10.5,2,0.3,14,1.9,308,41,0,0,238,31.7,81,10.8,32,4.3,264,35.2,557,74.2
"001906",406,2,0.5,4,1,24,5.9,0,0,170,41.9,27,6.7,39,9.6,0,0,4,1,236,58.1,0,0,168,41.4,45,11.1,6,1.5,155,38.2,335,82.5
"001907",3288,33,1,400,12.2,924,28.1,135,3.7,2502,76.1,109,3.3,1272,38.7,15,0.5,434,13.2,786,23.9,2,0.1,1938,58.9,252,7.7,64,1.9,1086,33,978,29.7
"001908",1619,10,0.6,73,4.5,268,16.6,39,2,1002,61.9,44,2.7,341,21.1,6,0.4,80,4.9,617,38.1,2,0.1,718,44.3,151,9.3,74,4.6,302,18.7,918,56.7
"001909",439,0,0,2,0.5,5,1.1,3,0.6,198,45.1,21,4.8,23,5.2,1,0.2,2,0.5,241,54.9,0,0,76,17.3,48,10.9,18,4.1,167,38,392,89.3
"002901",3617,13,0.4,486,13.4,65,1.8,31,0.8,1489,41.2,132,3.6,2363,65.3,11,0.3,398,11,2128,58.8,0,0,1198,33.1,250,6.9,53,1.5,554,15.3,1112,30.7
"003801",635,15,2.4,0,0,109,17.2,0,0,320,50.4,40,6.3,98,15.4,0,0,0,0,315,49.6,2,0.3,49,7.7,45,7.1,10,1.6,83,13.1,401,63.1
"003902",2726,29,1.1,169,6.2,156,5.7,57,1.9,1490,54.7,161,5.9,629,23.1,11,0.4,177,6.5,1236,45.3,1,0,904,33.2,196,7.2,41,1.5,599,22,1859,68.2
"003903",8494,117,1.4,1890,22.3,2365,27.8,360,3.9,6296,74.1,928,10.9,3341,39.3,17,0.2,1513,17.8,2198,25.9,11,0.1,4836,56.9,902,10.6,165,1.9,1554,18.3,2478,29.2
"003904",1735,3,0.2,16,0.9,47,2.7,29,1.5,904,52.1,101,5.8,106,6.1,9,0.5,16,0.9,831,47.9,1,0.1,667,38.4,175,10.1,32,1.8,571,32.9,1537,88.6
"003905",1996,4,0.2,336,16.8,242,12.1,26,1.2,1453,72.8,90,4.5,1062,53.2,2,0.1,356,17.8,543,27.2,0,0,997,49.9,155,7.8,32,1.6,455,22.8,654,32.8
"003906",441,0,0,0,0,2,0.5,1,0.2,264,59.9,17,3.9,18,4.1,3,0.7,0,0,177,40.1,0,0,161,36.5,46,10.4,16,3.6,110,24.9,402,91.2
"003907",1540,1,0.1,52,3.4,85,5.5,30,1.8,853,55.4,71,4.6,263,17.1,9,0.6,53,3.4,687,44.6,0,0,438,28.4,138,9,20,1.3,342,22.2,1162,75.5
"004901",3161,76,2.4,113,3.6,38,1.2,175,5,1827,57.8,115,3.6,1274,40.3,13,0.4,113,3.6,1334,42.2,0,0,1411,44.6,271,8.6,68,2.2,816,25.8,1692,53.5
"005901",488,0,0,2,0.4,2,0.4,2,0.4,174,35.7,37,7.6,34,7,5,1,2,0.4,314,64.3,0,0,128,26.2,42,8.6,18,3.7,109,22.3,429,87.9
"005902",887,1,0.1,2,0.2,5,0.6,5,0.5,269,30.3,30,3.4,61,6.9,7,0.8,2,0.2,618,69.7,0,0,245,27.6,79,8.9,8,0.9,209,23.6,805,90.8
"005904",476,1,0.2,43,9,0,0,1,0.2,206,43.3,34,7.1,130,27.3,4,0.8,43,9,270,56.7,0,0,170,35.7,33,6.9,2,0.4,179,37.6,339,71.2
"006902",366,0,0,3,0.8,10,2.7,3,0.7,151,41.3,14,3.8,47,12.8,2,0.5,3,0.8,215,58.7,0,0,136,37.2,45,12.3,8,2.2,106,29,299,81.7
"007901",502,1,0.2,31,6.2,3,0.6,8,1.4,356,70.9,12,2.4,430,85.7,2,0.4,31,6.2,146,29.1,0,0,293,58.4,30,6,1,0.2,120,23.9,65,12.9
"007902",1470,3,0.2,29,2,7,0.5,29,1.7,807,54.9,83,5.6,868,59,3,0.2,31,2.1,663,45.1,1,0.1,570,38.8,112,7.6,16,1.1,423,28.8,572,38.9
"007904",1736,0,0,115,6.6,18,1,28,1.5,1215,70,93,5.4,1377,79.3,7,0.4,124,7.1,521,30,3,0.2,729,42,98,5.6,6,0.3,544,31.3,325,18.7
"007905",3487,12,0.3,89,2.6,9,0.3,104,2.7,2184,62.6,162,4.6,2413,69.2,14,0.4,89,2.6,1303,37.4,0,0,1385,39.7,278,8,23,0.7,852,24.4,1016,29.1
"007906",1773,3,0.2,69,3.9,2,0.1,59,3,1417,79.9,94,5.3,1506,84.9,3,0.2,79,4.5,356,20.1,0,0,948,53.5,127,7.2,8,0.5,461,26,251,14.2
"008901",2082,3,0.1,156,7.5,227,10.9,16,0.7,971,46.6,232,11.1,544,26.1,5,0.2,157,7.5,1111,53.4,0,0,691,33.2,169,8.1,55,2.6,606,29.1,1248,59.9
"008902",2676,7,0.3,288,10.8,273,10.2,30,1,1577,58.9,144,5.4,1233,46.1,3,0.1,294,11,1099,41.1,2,0.1,1117,41.7,231,8.6,43,1.6,548,20.5,1115,41.7
"008903",821,6,0.7,95,11.6,76,9.3,27,3,466,56.8,14,1.7,406,49.5,0,0,98,11.9,355,43.2,0,0,302,36.8,41,5,13,1.6,229,27.9,320,39
"009901",1486,7,0.5,260,17.5,3,0.2,23,1.4,1227,82.6,47,3.2,1216,81.8,0,0,268,18,259,17.4,0,0,791,53.2,146,9.8,1,0.1,340,22.9,259,17.4
"010901",266,0,0,15,5.6,3,1.1,9,2.7,159,59.8,17,6.4,67,25.2,1,0.4,18,6.8,107,40.2,0,0,106,39.8,39,14.7,3,1.1,99,37.2,192,72.2
"010902",2443,15,0.6,102,4.2,9,0.4,31,1.2,1221,50,155,6.3,739,30.2,16,0.7,103,4.2,1222,50,1,0,859,35.2,239,9.8,41,1.7,662,27.1,1622,66.4
"011901",9268,48,0.5,1719,18.5,537,5.8,221,2.2,6298,68,715,7.7,5132,55.4,43,0.5,1889,20.4,2970,32,6,0.1,5356,57.8,1011,10.9,230,2.5,1502,16.2,3272,35.3
"011902",4122,13,0.3,708,17.2,550,13.3,117,2.6,2918,70.8,329,8,2263,54.9,10,0.2,732,17.8,1204,29.2,1,0,1964,47.6,374,9.1,112,2.7,1246,30.2,1173,28.5
"011904",1768,6,0.3,67,3.8,150,8.5,39,2.1,982,55.5,118,6.7,456,25.8,7,0.4,70,4,786,44.5,1,0.1,560,31.7,176,10,52,2.9,453,25.6,1096,62
"011905",215,0,0,48,22.3,1,0.5,0,0,154,71.6,8,3.7,98,45.6,0,0,52,24.2,61,28.4,0,0,125,58.1,18,8.4,1,0.5,0,0,115,53.5
"012901",582,2,0.3,0,0,17,2.9,1,0.2,306,52.6,21,3.6,106,18.2,4,0.7,0,0,276,47.4,0,0,144,24.7,67,11.5,20,3.4,138,23.7,433,74.4
"013801",431,10,2.3,0,0,5,1.2,0,0,333,77.3,21,4.9,348,80.7,0,0,0,0,98,22.7,0,0,174,40.4,31,7.2,3,0.7,0,0,65,15.1
"013901",3453,17,0.5,101,2.9,67,1.9,86,2.2,2545,73.7,259,7.5,2861,82.9,7,0.2,122,3.5,908,26.3,2,0.1,1880,54.4,305,8.8,15,0.4,1017,29.5,484,14
"013902",156,0,0,0,0,0,0,0,0,92,59,7,4.5,123,78.8,0,0,1,0.6,64,41,0,0,58,37.2,12,7.7,2,1.3,0,0,31,19.9
"013903",427,1,0.2,1,0.2,9,2.1,4,0.8,259,60.7,26,6.1,258,60.4,0,0,1,0.2,168,39.3,0,0,194,45.4,49,11.5,3,0.7,136,31.9,156,36.5
"013905",821,4,0.5,14,1.7,9,1.1,12,1.3,478,58.2,48,5.8,520,63.3,9,1.1,14,1.7,343,41.8,0,0,331,40.3,80,9.7,4,0.5,281,34.2,275,33.5
"014801",156,2,1.3,0,0,67,42.9,0,0,122,78.2,0,0,35,22.4,1,0.6,0,0,34,21.8,2,1.3,151,96.8,36,23.1,9,5.8,77,49.4,40,25.6
"014802",66,0,0,0,0,32,48.5,0,0,24,36.4,0,0,15,22.7,1,1.5,0,0,42,63.6,0,0,66,100,9,13.6,5,7.6,13,19.7,13,19.7
