DISTRICT,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP
"001902",40,7.1,564,3,0.5,1,0.2,20,3.5,5,0.8,28,5,240,42.6,48,8.5,38,6.7,0,0,1,0.2,324,57.4,0,0,235,41.7,84,14.9,25,4.4,174,30.9,478,84.8
"001903",67,5.3,1254,4,0.3,26,2.1,68,5.4,10,0.7,55,4.4,728,58.1,45,3.6,142,11.3,7,0.6,29,2.3,526,41.9,2,0.2,356,28.4,134,10.7,51,4.1,402,32.1,980,78.1
"001904",86,10.7,803,8,1,23,2.9,66,8.2,5,0.5,47,5.9,431,53.7,71,8.8,66,8.2,5,0.6,23,2.9,372,46.3,0,0,310,38.6,92,11.5,30,3.7,257,32,628,78.2
"001906",25,6.8,366,0,0,7,1.9,31,8.5,0,0,7,1.9,175,47.8,22,6,51,13.9,1,0.3,7,1.9,191,52.2,0,0,97,26.5,32,8.7,15,4.1,160,43.7,268,73.2
"001907",196,5.8,3389,31,0.9,559,16.5,902,26.6,125,3.4,76,2.2,2540,74.9,97,2.9,1397,41.2,3,0.1,604,17.8,849,25.1,2,0.1,1979,58.4,362,10.7,121,3.6,1071,31.6,933,27.5
"001908",92,6.1,1518,9,0.6,84,5.5,260,17.1,25,1.5,48,3.2,933,61.5,36,2.4,383,25.2,12,0.8,88,5.8,585,38.5,0,0,855,56.3,186,12.3,55,3.6,406,26.7,799,52.6
"001909",10,2.5,406,3,0.7,4,1,8,2,3,0.7,0,0,186,45.8,21,5.2,26,6.4,1,0.2,4,1,220,54.2,0,0,124,30.5,50,12.3,14,3.4,160,39.4,354,87.2
"002901",230,5.3,4314,17,0.4,606,14,36,0.8,59,1.3,97,2.2,1767,41,233,5.4,2912,67.5,21,0.5,523,12.1,2547,59,1,0,1751,40.6,346,8,72,1.7,936,21.7,1255,29.1
"003801",65,6.4,1022,15,1.5,49,4.8,154,15.1,0,0,45,4.4,521,51,96,9.4,278,27.2,0,0,49,4.8,501,49,1,0.1,296,29,82,8,33,3.2,150,14.7,541,52.9
"003902",194,6.6,2957,21,0.7,170,5.7,224,7.6,55,1.8,131,4.4,1609,54.4,157,5.3,756,25.6,22,0.7,180,6.1,1348,45.6,0,0,1174,39.7,253,8.6,72,2.4,947,32,1862,63
"003903",479,6.1,7827,90,1.1,1943,24.8,2269,29,325,3.7,380,4.9,6041,77.2,896,11.4,3253,41.6,14,0.2,1456,18.6,1786,22.8,5,0.1,4839,61.8,848,10.8,210,2.7,1921,24.5,1986,25.4
"003904",152,9.2,1659,7,0.4,18,1.1,45,2.7,36,1.9,108,6.5,929,56,73,4.4,114,6.9,8,0.5,18,1.1,730,44,0,0,734,44.2,184,11.1,49,3,579,34.9,1436,86.6
"003905",128,6.8,1870,6,0.3,310,16.6,236,12.6,21,1,74,4,1475,78.9,68,3.6,970,51.9,2,0.1,302,16.1,395,21.1,0,0,1042,55.7,192,10.3,35,1.9,495,26.5,621,33.2
"003906",40,11.1,360,0,0,0,0,2,0.6,1,0.2,12,3.3,243,67.5,19,5.3,12,3.3,0,0,0,0,117,32.5,0,0,125,34.7,47,13.1,21,5.8,122,33.9,325,90.3
"003907",78,5.3,1465,1,0.1,51,3.5,65,4.4,43,2.6,20,1.4,865,59,68,4.6,308,21,2,0.1,52,3.5,600,41,0,0,551,37.6,201,13.7,44,3,478,32.6,1045,71.3
"004901",245,8.7,2826,62,2.2,142,5,27,1,68,1.9,159,5.6,1899,67.2,142,5,1204,42.6,9,0.3,142,5,927,32.8,4,0.1,1671,59.1,286,10.1,85,3,812,28.7,1435,50.8
"005901",61,12.1,505,3,0.6,8,1.6,4,0.8,6,1.2,37,7.3,270,53.5,33,6.5,69,13.7,4,0.8,8,1.6,235,46.5,0,0,173,34.3,68,13.5,14,2.8,228,45.1,411,81.4
"005902",119,11.4,1046,1,0.1,3,0.3,5,0.5,5,0.5,63,6,219,20.9,66,6.3,88,8.4,6,0.6,3,0.3,827,79.1,1,0.1,268,25.6,95,9.1,26,2.5,294,28.1,919,87.9
"005904",51,12.7,403,0,0,27,6.7,0,0,0,0,24,6,161,40,40,9.9,111,27.5,3,0.7,27,6.7,242,60,0,0,118,29.3,34,8.4,1,0.2,153,38,288,71.5
"006902",17,4.7,358,0,0,4,1.1,3,0.8,5,1.2,22,6.1,146,40.8,14,3.9,45,12.6,4,1.1,4,1.1,212,59.2,0,0,131,36.6,38,10.6,6,1.7,128,35.8,300,83.8
"007901",42,9,469,1,0.2,24,5.1,0,0,7,1.3,0,0,347,74,26,5.5,411,87.6,1,0.2,25,5.3,122,26,0,0,324,69.1,62,13.2,0,0,123,26.2,56,11.9
"007902",174,10.8,1606,5,0.3,37,2.3,15,0.9,26,1.4,60,3.7,867,54,70,4.4,975,60.7,3,0.2,38,2.4,739,46,1,0.1,765,47.6,162,10.1,17,1.1,405,25.2,590,36.7
