DISTRICT,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTG9XC,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP,DPNTVHSC,DPNTVHSP
"001902",49,8.8,557,2,0.4,1,0.2,17,3.1,1,0.2,29,5.2,228,40.9,263,47.2,0,0,172,39,7,45,8.1,2,0.4,0,0,0,0,1,0.2,294,52.8,1,0.2,5,0.9,329,59.1,0,0,232,41.7,82,14.7,557,100,25,4.5,134,77.9,165,29.6,468,84,1,0.2,172,39,7,82,14.7,134,77.9
"001903",73,5.9,1246,4,0.3,22,1.8,61,4.9,10,0.7,64,5.1,660,53,590,47.4,8,0.6,378,44,3.5,147,11.8,10,0.8,0,0,5,0.4,23,1.8,656,52.6,0,0,6,0.5,586,47,1,0.1,399,32,147,11.8,1246,100,51,4.1,138,36.5,378,30.3,977,78.4,22,1.8,378,44,3.5,148,11.9,138,36.5
"001904",75,9.6,785,7,0.9,22,2.8,76,9.7,5,0.6,48,6.1,421,53.6,376,47.9,11,1.4,228,71,9,61,7.8,5,0.6,0,0,6,0.8,22,2.8,409,52.1,0,0,18,2.3,364,46.4,0,0,284,36.2,91,11.6,785,100,30,3.8,207,90.8,207,26.4,605,77.1,22,2.8,228,71,9,92,11.7,207,90.8
"001906",26,7.4,352,0,0,7,2,25,7.1,0,0,5,1.4,167,47.4,182,51.7,4,1.1,111,23,6.5,46,13.1,2,0.6,0,0,2,0.6,7,2,170,48.3,0,0,12,3.4,185,52.6,0,0,101,28.7,25,7.1,352,100,12,3.4,49,44.1,160,45.5,267,75.9,7,2,111,23,6.5,26,7.4,49,44.1
"001907",179,5.2,3434,30,0.9,554,16.1,899,26.2,114,3.1,105,3.1,2735,79.6,1591,46.3,13,0.4,987,87,2.5,1452,42.3,13,0.4,77,2.2,7,0.2,595,17.3,1843,53.7,1,0,9,0.3,699,20.4,2,0.1,2000,58.2,399,11.6,3434,100,131,3.8,918,93,1108,32.3,913,26.6,554,16.1,987,87,2.5,401,11.7,918,93
"001908",90,5.9,1514,6,0.4,84,5.5,296,19.6,11,0.6,58,3.8,970,64.1,735,48.5,18,1.2,441,42,2.8,370,24.4,3,0.2,8,0.5,11,0.7,92,6.1,779,51.5,0,0,3,0.2,544,35.9,0,0,806,53.2,212,14,861,56.9,63,4.2,335,76,407,26.9,768,50.7,84,5.5,441,42,2.8,212,14,335,76
"001909",17,4.5,381,2,0.5,1,0.3,3,0.8,1,0.2,18,4.7,159,41.7,194,50.9,2,0.5,121,15,3.9,34,8.9,9,2.4,0,0,0,0,1,0.3,187,49.1,0,0,4,1,222,58.3,0,0,131,34.4,51,13.4,381,100,14,3.7,114,94.2,160,42,328,86.1,1,0.3,121,15,3.9,52,13.6,114,94.2
"002901",255,5.9,4352,15,0.3,647,14.9,26,0.6,95,2,95,2.2,2089,48,2120,48.7,4,0.1,1209,262,6,2982,68.5,64,1.5,0,0,17,0.4,576,13.2,2232,51.3,3,0.1,0,0,2263,52,0,0,1830,42,372,8.5,4352,100,76,1.7,206,17,1034,23.8,1236,28.4,647,14.8,1209,262,6,379,8.7,206,17
"003801",69,6.6,1041,12,1.2,46,4.4,157,15.1,0,0,49,4.7,555,53.3,542,52.1,5,0.5,271,97,9.3,293,28.1,9,0.9,0,0,1,0.1,46,4.4,499,47.9,0,0,13,1.2,486,46.7,1,0.1,434,41.7,95,9.1,1040,99.9,34,3.3,51,18.8,170,16.3,543,52.2,46,4.4,271,97,9.3,95,9.1,51,18.8
"003902",234,7.9,2945,35,1.2,170,5.8,206,7,64,2,178,6,1558,52.9,1500,50.9,18,0.6,844,162,5.5,777,26.4,8,0.3,13,0.4,21,0.7,183,6.2,1445,49.1,0,0,8,0.3,1387,47.1,1,0,947,32.2,264,9,2937,99.7,80,2.7,650,77,1016,34.5,1825,62,170,5.8,845,162,5.5,267,9.1,651,77
