DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'001902",12,12.5,96,48,9,535,3,0.6,70,428,16.4,2,0.4,22,4.1,4,0.7,35,6.5,202,37.8,248,46.4,0,0,35,6.5,52,9.7,1,0.2,0,0,0,0,2,0.4,287,53.6,1,0.2,9,1.7,333,62.2,0,0,187,35,78,14.6,535,100,27,5,431,80.6,2,0.4,35,6.5,78,14.6
"'001903",28,19.7,142,69,5.8,1200,2,0.2,142,873,16.3,23,1.9,53,4.4,7,0.5,66,5.5,571,47.6,563,46.9,4,0.3,50,4.2,137,11.4,16,1.3,0,0,4,0.3,24,2,637,53.1,0,0,5,0.4,629,52.4,1,0.1,275,22.9,147,12.3,1200,100,52,4.3,951,79.3,23,1.9,50,4.2,147,12.3
"'001904",9,8.7,104,71,9.2,768,9,1.2,106,597,17.8,24,3.1,79,10.3,4,0.5,49,6.4,427,55.6,362,47.1,3,0.4,62,8.1,62,8.1,11,1.4,0,0,3,0.4,24,3.1,406,52.9,0,0,19,2.5,341,44.4,0,0,274,35.7,98,12.8,768,100,30,3.9,585,76.2,24,3.1,62,8.1,99,12.9
"'001906",8,24.2,33,25,7.4,338,1,0.3,48,295,16.3,7,2.1,24,7.1,0,0,6,1.8,168,49.7,175,51.8,3,0.9,17,5,45,13.3,0,0,0,0,1,0.3,7,2.1,163,48.2,0,0,45,13.3,170,50.3,0,0,94,27.8,31,9.2,338,100,14,4.1,253,74.9,7,2.1,17,5,32,9.4
"'001907",72,16.3,442,200,5.9,3398,26,0.8,195,2017,9.7,545,16,882,26,95,2.6,111,3.3,2724,80.2,1594,46.9,6,0.2,85,2.5,1444,42.5,10,0.3,58,1.7,9,0.3,534,15.7,1804,53.1,0,0,6,0.2,674,19.8,2,0.1,1948,57.3,439,12.9,3398,100,141,4.1,894,26.3,545,16,85,2.5,439,12.9
"'001908",25,11.5,217,86,6.4,1352,6,0.4,214,1085,19.7,82,6.1,268,19.8,8,0.5,59,4.4,928,68.6,654,48.4,19,1.4,39,2.9,333,24.6,0,0,5,0.4,10,0.7,90,6.7,698,51.6,3,0.2,1,0.1,424,31.4,0,0,748,55.3,193,14.3,719,53.2,60,4.4,675,49.9,82,6.1,39,2.9,193,14.3
"'001909",10,17.9,56,22,6,366,2,0.5,60,335,17.9,1,0.3,3,0.8,0,0,25,6.8,152,41.5,190,51.9,2,0.5,12,3.3,31,8.5,10,2.7,0,0,0,0,1,0.3,176,48.1,0,0,9,2.5,214,58.5,0,0,112,30.6,51,13.9,366,100,15,4.1,315,86.1,1,0.3,12,3.3,51,13.9
"'002901",50,12,418,294,7.1,4121,11,0.3,398,2792,14.3,574,13.9,33,0.8,98,2.1,242,5.9,1920,46.6,2009,48.8,7,0.2,264,6.4,2846,69.1,64,1.6,2,0,15,0.4,528,12.8,2112,51.2,2,0,60,1.5,2201,53.4,0,0,1735,42.1,387,9.4,4064,98.6,70,1.7,1146,27.8,574,13.9,264,6.4,394,9.5
"'003801",10,9.1,110,66,6.6,996,11,1.1,93,811,11.5,49,4.9,148,14.9,0,0,44,4.4,506,50.8,509,51.1,4,0.4,93,9.3,298,29.9,5,0.5,0,0,2,0.2,49,4.9,487,48.9,0,0,11,1.1,490,49.2,1,0.1,415,41.7,104,10.4,996,100,35,3.5,501,50.3,49,4.9,93,9.3,104,10.4
"'003902",46,15.3,300,241,8.7,2769,30,1.1,284,2071,13.7,157,5.7,206,7.4,38,1.2,184,6.6,1448,52.3,1405,50.7,10,0.4,157,5.7,761,27.5,3,0.1,11,0.4,10,0.4,185,6.7,1364,49.3,0,0,88,3.2,1321,47.7,1,0,1013,36.6,296,10.7,2760,99.7,71,2.6,1690,61,157,5.7,157,5.7,300,10.8
