DISTRICT,DPEMSPEC,DPEMSPEP,DPEMSPET,DPET504C,DPET504P,DPETALLC,DPETASIC,DPETASIP,DPETATTC,DPETATTD,DPETATTP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETDSLC,DPETDSLP,DPETECOC,DPETECOP,DPETFEMC,DPETFEMP,DPETFOSC,DPETFOSP,DPETG9XC,DPETGIFC,DPETGIFP,DPETHISC,DPETHISP,DPETHOMC,DPETHOMP,DPETIMMC,DPETIMMP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETMALC,DPETMALP,DPETMIGC,DPETMIGP,DPETMLCC,DPETMLCP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTT1C,DPETTT1P,DPETTWOC,DPETTWOP,DPETVHSC,DPETVHSP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DPNTBILC,DPNTBILP,DPNTGIFC,DPNTGIFP,DPNTSPEC,DPNTSPEP
"'001902",15,16.3,92,52,9.1,574,3,0.5,32,413,7.7,6,1,25,4.4,5,0.9,38,6.6,234,40.8,286,49.8,0,0,169,35,6.1,66,11.5,1,0.2,0,0,0,0,6,1,288,50.2,0,0,9,1.6,340,59.2,0,0,228,39.7,84,14.6,574,100,26,4.5,147,87,175,30.5,454,79.1,6,1,35,6.1,86,14.9
"'001903",24,16.1,149,79,6.9,1150,2,0.2,149,864,17.2,31,2.7,46,4,0,0,65,5.7,522,45.4,560,48.7,6,0.5,307,53,4.6,136,11.8,16,1.4,0,0,3,0.3,32,2.8,590,51.3,0,0,23,2,628,54.6,0,0,336,29.2,139,12.1,1150,100,39,3.4,253,82.4,366,31.8,924,80.3,31,2.7,53,4.6,139,12.1
"'001904",23,18.7,123,69,8.5,808,8,1,84,606,13.9,33,4.1,69,8.5,7,0.8,52,6.4,438,54.2,365,45.2,6,0.7,232,59,7.3,91,11.3,6,0.7,0,0,3,0.4,33,4.1,443,54.8,0,0,29,3.6,370,45.8,0,0,361,44.7,106,13.1,808,100,29,3.6,214,92.2,355,43.9,608,75.2,33,4.1,59,7.3,106,13.1
"'001906",5,13.5,37,31,9.1,342,1,0.3,42,289,14.5,7,2,28,8.2,1,0.3,9,2.6,185,54.1,166,48.5,2,0.6,104,19,5.6,46,13.5,6,1.8,0,0,1,0.3,7,2,176,51.5,0,0,52,15.2,157,45.9,0,0,132,38.6,36,10.5,342,100,9,2.6,80,76.9,101,29.5,257,75.1,7,2,19,5.5,37,10.8
"'001907",95,19.8,480,207,6.2,3360,24,0.7,288,2029,14.2,540,16.1,844,25.1,87,2.3,112,3.3,2741,81.6,1597,47.5,18,0.5,1040,76,2.3,1442,42.9,12,0.4,42,1.3,8,0.2,595,17.7,1763,52.5,0,0,45,1.3,619,18.4,2,0.1,1918,57.1,455,13.5,3360,100,124,3.7,902,86.7,1027,30.6,916,27.3,540,16.1,76,2.3,456,13.6
"'001908",49,21.7,226,103,7.7,1332,6,0.5,175,979,17.9,90,6.8,263,19.7,11,0.7,77,5.8,986,74,644,48.3,15,1.1,400,43,3.2,349,26.2,2,0.2,4,0.3,9,0.7,95,7.1,688,51.7,3,0.2,1,0.1,346,26,1,0.1,734,55.1,193,14.5,727,54.6,65,4.9,315,78.8,515,38.7,639,48,90,6.8,43,3.2,193,14.5
"'001909",10,17.9,56,26,7.2,361,2,0.6,47,306,15.4,2,0.6,1,0.3,0,0,26,7.2,169,46.8,187,51.8,0,0,104,12,3.3,31,8.6,0,0,0,0,0,0,2,0.6,174,48.2,0,0,6,1.7,192,53.2,0,0,136,37.7,53,14.7,360,99.7,13,3.6,88,84.6,136,37.7,314,87,2,0.6,12,3.3,53,14.7
"'002901",70,15.5,453,333,8.1,4131,13,0.3,318,2633,12.1,628,15.2,32,0.8,132,3,303,7.3,2048,49.6,2027,49.1,9,0.2,1211,281,6.8,2839,68.7,44,1.1,17,0.4,14,0.3,588,14.2,2104,50.9,0,0,81,2,2083,50.4,0,0,1785,43.2,431,10.4,4071,98.5,70,1.7,996,82.2,1024,24.8,1163,28.2,628,15.1,281,6.8,447,10.8
"'003801",11,9.9,111,78,7.8,995,10,1,122,792,15.4,50,5,156,15.7,0,0,49,4.9,575,57.8,518,52.1,4,0.4,261,92,9.2,310,31.2,5,0.5,0,0,1,0.1,51,5.1,477,47.9,0,0,14,1.4,420,42.2,1,0.1,438,44,115,11.6,995,100,34,3.4,188,72,188,18.9,483,48.5,50,5,92,9.2,115,11.6
"'003902",51,14.6,349,275,9.8,2799,27,1,235,1949,12.1,167,6,202,7.2,46,1.5,203,7.3,1403,50.1,1390,49.7,11,0.4,824,168,6,780,27.9,11,0.4,10,0.4,8,0.3,192,6.9,1409,50.3,0,0,153,5.5,1396,49.9,2,0.1,992,35.4,334,11.9,2790,99.7,85,3,678,82.3,963,34.4,1695,60.6,167,6,168,6,336,12
