Vendor,Department,Description,Check #,Check Date,Amount
ANN WILHELM,ELECTRIC ADMINISTRATION,CLIP - 2909 Falling Leaf Ln St,656833,2022-09-23T00:00:00Z,572
ANN WILHELM,ELECTRIC ADMINISTRATION,CLIP - 2909 Falling Leaf Ln St,656833,2022-09-23T00:00:00Z,419
ERIC STEVENS,HUMAN RESOURCES,PW Director Candidate Travel R,656866,2022-09-23T00:00:00Z,828.8
AIRTOUCH CELLULAR,INFORMATION TECHNOLOGY,BILL PAYER ID Y1074794,656827,2022-09-23T00:00:00Z,2518.18
AIRTOUCH CELLULAR,INFORMATION TECHNOLOGY,BILL PAYER ID Y2345103,656827,2022-09-23T00:00:00Z,2006.27
BG SERVICES ARKANSAS,PUBLIC WORKS FLEET MAINTENANCE,CUST # 00-0009005,656842,2022-09-23T00:00:00Z,651.2
NOOTER CONSTRUCTION LLC,SEWER,"HVAC maintenance and repairs,",656918,2022-09-23T00:00:00Z,348.14
NOOTER CONSTRUCTION LLC,SEWER,"HVAC maintenance and repairs,",656918,2022-09-23T00:00:00Z,348.14
NOOTER CONSTRUCTION LLC,SEWER,"HVAC maintenance and repairs,",656918,2022-09-23T00:00:00Z,348.14
NOOTER CONSTRUCTION LLC,SEWER,"HVAC maintenance and repairs,",656918,2022-09-23T00:00:00Z,3509.83
NOOTER CONSTRUCTION LLC,SEWER,"HVAC maintenance and repairs,",656918,2022-09-23T00:00:00Z,348.14
NOOTER CONSTRUCTION LLC,SEWER,"HVAC maintenance and repairs,",656918,2022-09-23T00:00:00Z,11061.18
NOOTER CONSTRUCTION LLC,SEWER,"HVAC maintenance and repairs,",656918,2022-09-23T00:00:00Z,1250.75
NOOTER CONSTRUCTION LLC,ELECTRIC PRODUCTION,"HVAC and Plumbing, Maintenance",656918,2022-09-23T00:00:00Z,2154.86
BERNARDO A BRUNETTI,POLICE,FY22 CPD INTERPRETATION SVC,656841,2022-09-23T00:00:00Z,33.25
PETROLEUM TRADERS CORPORATION,PUBLIC WORKS FLEET MAINTENANCE,ACCT # 992804/1,14530,2022-09-23T00:00:00Z,27392.23
SLATE TOWING AND PERFORMANCE,PUBLIC WORKS FLEET MAINTENANCE,TOWING PARTS FOR INVENTORY,656931,2022-09-23T00:00:00Z,95
SLATE TOWING AND PERFORMANCE,PUBLIC WORKS FLEET MAINTENANCE,TOWING PARTS FOR INVENTORY,656931,2022-09-23T00:00:00Z,75
SHI INTERNATIONAL CORP,INFORMATION TECHNOLOGY,CUST # 1086548,14538,2022-09-23T00:00:00Z,1967.06
SHI INTERNATIONAL CORP,INFORMATION TECHNOLOGY,CUST # 1086548,14538,2022-09-23T00:00:00Z,3934.12
SHI INTERNATIONAL CORP,INFORMATION TECHNOLOGY,CUST # 1086548,14538,2022-09-23T00:00:00Z,5901.18
INFINITECH CONSULTING LLC,SEWER,Ken Crump comp wo95498,14520,2022-09-23T00:00:00Z,2112
MCLARTY CMFO LLC,PUBLIC WORKS FLEET MAINTENANCE,CUST # 6057,14523,2022-09-23T00:00:00Z,3654.55
MCLARTY CMFO LLC,PUBLIC WORKS FLEET MAINTENANCE,CUST # 6057,14523,2022-09-23T00:00:00Z,2446.75
UNITED RENTALS (NORTH AMERICA) INC,ELECTRIC PRODUCTION,CUST # 427204,14542,2022-09-23T00:00:00Z,99.99
BANKERS SECURITY SAFE & VAULT INC.,FINANCE,ACCT # C03205,656838,2022-09-23T00:00:00Z,230.59
TRANE US INC,PUBLIC WORKS BUILDING MAINT,CUST # 159474,656937,2022-09-23T00:00:00Z,1189.5
WESTLAKE HARDWARE INC,PUBLIC WORKS FLEET MAINTENANCE,ACCT # 241776,656940,2022-09-23T00:00:00Z,81.98
ROYAL PAPERS INC,PUBLIC WORKS BUILDING MAINT,CUST # 52178,14536,2022-09-23T00:00:00Z,2585.35
ROYAL PAPERS INC,PUBLIC WORKS BUILDING MAINT,CUST # 52175,14536,2022-09-23T00:00:00Z,1292.84
ROYAL PAPERS INC,PUBLIC WORKS BUILDING MAINT,CUST # 52177,14536,2022-09-23T00:00:00Z,11449.47
ROYAL PAPERS INC,PUBLIC WORKS BUILDING MAINT,CUST # 52177,14536,2022-09-23T00:00:00Z,9686.35
MID-STATE PETRO EQUIP,SEWER,ACCT # COWATLIG,656892,2022-09-23T00:00:00Z,1719.16
MFA PETROLEUM COMPANY,PUBLIC WORKS FLEET MAINTENANCE,CUST # 6689578,656891,2022-09-23T00:00:00Z,3958.37
MFA OIL COMPANY,PUBLIC WORKS FLEET MAINTENANCE,CUST # 55770867,656890,2022-09-23T00:00:00Z,46
MISSISSIPPI LIME CO,WATER PRODUCTION,Quicklime as needed for WTP,14525,2022-09-23T00:00:00Z,6855.62
