state,county,population,below50,below125,below150,below185,below200,below300,below400
Alabama,Autauga County,55639,3504,10760,12611,15883,17499,27259,35423
Alabama,Baldwin County,218289,7250,28632,36413,50285,57127,92639,125889
Alabama,Barbour County,25026,3018,7553,8965,10606,11152,14933,17176
Alabama,Bibb County,22374,1875,4646,5730,7811,8370,12236,16059
Alabama,Blount County,57755,3834,10542,13624,18517,20042,32176,41075
Alabama,Bullock County,10173,1074,3472,4128,4989,5054,6468,7739
Alabama,Butler County,19726,1194,4997,6133,7478,8150,12138,14340
Alabama,Calhoun County,114324,7486,25293,30323,39419,42196,64372,80238
Alabama,Chambers County,33427,1628,7294,9277,12781,14169,20226,25262
Alabama,Cherokee County,26035,973,5424,6662,9132,9798,14649,18533
Alabama,Chilton County,44147,2655,10021,12061,15829,16957,25661,31693
Alabama,Choctaw County,12755,849,2867,3749,4821,5138,7580,9029
Alabama,Clarke County,23866,3023,7092,8251,10084,10586,14403,17467
Alabama,Clay County,13285,631,2745,3685,5075,5575,8138,9593
Alabama,Cleburne County,14952,689,3006,4017,5378,5741,8612,10679
Alabama,Coffee County,52238,3774,10546,12810,16442,17574,26206,34885
Alabama,Colbert County,54957,2912,10050,12779,17106,19118,30373,39877
Alabama,Conecuh County,12219,1254,2783,4249,5700,6339,8557,9706
Alabama,Coosa County,10696,500,1821,2478,3467,3772,5976,7480
Alabama,Covington County,37096,2857,8053,10202,12931,14330,21971,26539
Alabama,Crenshaw County,13826,699,2837,3679,5402,5724,8122,9933
Alabama,Cullman County,83345,5084,13895,17853,25806,28786,47597,59831
Alabama,Dale County,49293,4427,11561,14570,17890,19891,28912,34952
Alabama,Dallas County,38184,4431,13497,15509,18491,19861,25682,30625
Alabama,DeKalb County,71430,5315,20163,24968,30879,33151,46276,55982
Alabama,Elmore County,81526,3076,11352,13805,18972,20228,32899,45950
Alabama,Escambia County,36775,4410,10757,12592,15745,16795,22674,27444
Alabama,Etowah County,102721,6589,22262,26737,34840,37996,58178,74910
Alabama,Fayette County,16406,1490,4069,5274,6651,7026,10122,12379
Alabama,Franklin County,31587,2314,8278,10362,12463,13991,20316,24208
Alabama,Geneva County,26383,1497,7252,8849,10336,11045,16492,19878
Alabama,Greene County,8221,1329,3832,4166,4719,4846,5873,7015
Alabama,Hale County,14754,1123,4526,5426,7022,7282,9520,10828
Alabama,Henry County,17123,893,3316,4305,5415,6319,9085,11130
Alabama,Houston County,105319,7680,23727,29466,36914,39656,57666,71601
Alabama,Jackson County,51765,2944,12875,15669,20855,22190,32048,39317
Alabama,Jefferson County,658615,45576,132572,160580,201071,217732,316812,403067
Alabama,Lamar County,13854,996,2941,3655,4643,4836,7632,10464
Alabama,Lauderdale County,92870,4762,16793,22446,28810,31544,48022,62176
Alabama,Lawrence County,32969,2092,7617,9143,11271,11968,17818,22624
Alabama,Lee County,163461,17749,37566,44372,55058,58903,80230,102040
Alabama,Limestone County,96921,5117,15224,19279,24572,26697,44125,57727
Alabama,Lowndes County,9936,1014,3443,4067,5102,5255,6673,7830
Alabama,Macon County,18437,1939,4822,5903,6831,7636,10548,12632
Alabama,Madison County,367686,18340,54333,67267,84568,91200,145761,193063
Alabama,Marengo County,19138,1564,5194,6153,7843,8800,11410,14227
Alabama,Marion County,29818,1666,7131,8942,11573,12823,18652,22994
Alabama,Marshall County,96137,7591,22502,27218,33762,37273,54354,68839
Alabama,Mobile County,413977,34406,93041,117129,146664,158214,230018,286699
Alabama,Monroe County,21006,2686,5929,7484,9002,9382,12547,15144
Alabama,Montgomery County,226451,18554,53056,64998,76804,82175,120298,148390
Alabama,Morgan County,119352,6779,23452,29129,37563,40289,62436,79825
Alabama,Perry County,9104,802,4287,4710,5003,5348,6797,7274
Alabama,Pickens County,20049,1535,5701,6905,8029,8491,11733,13715
Alabama,Pike County,33274,4336,9014,10407,12733,13421,18285,21953
Alabama,Randolph County,22732,1899,4939,5710,8034,8918,13110,15923
Alabama,Russell County,57938,6459,15661,18037,22412,24812,36610,43654
Alabama,St. Clair County,88929,3893,13385,16236,22302,25270,41294,56850
Alabama,Shelby County,216350,7055,19918,26262,35786,39387,68689,103141
Alabama,Sumter County,12595,1691,4608,5200,6048,6764,8716,9924
Alabama,Talladega County,80244,6354,18769,23789,30219,32851,44706,57181
Alabama,Tallapoosa County,40450,3052,8947,11067,14694,16345,22417,30013
Alabama,Tuscaloosa County,208854,17182,42384,52296,65828,70646,102190,130979
Alabama,Walker County,63802,4692,14632,17984,22868,24738,36746,45712
Alabama,Washington County,16336,1036,4184,4952,5935,6416,9190,10874
Alabama,Wilcox County,10552,870,3839,4369,5050,5620,6848,7995
Alabama,Winston County,23712,1738,5362,7283,9674,10298,15106,18371
Alaska,Aleutians East Borough,3389,121,554,698,944,1011,1803,2218
Alaska,Aleutians West Census Area,5708,207,500,616,929,1109,2101,2986
Alaska,Anchorage Municipality,292090,10951,33059,42557,57072,62252,105875,143627
Alaska,Bethel Census Area,18263,2260,6762,7965,9327,9872,12313,14061
Alaska,Bristol Bay Borough,739,16,48,68,91,107,230,330
Alaska,Chugach Census Area,6495,276,372,432,921,1023,1899,3262
Alaska,Copper River Census Area,2894,108,337,576,808,877,1167,1502
Alaska,Denali Borough,2502,224,485,496,745,754,1058,1500
Alaska,Dillingham Census Area,4934,349,1106,1543,2138,2374,3017,3605
Alaska,Fairbanks North Star Borough,98455,3246,9225,12904,18078,20062,35472,50971
Alaska,Haines Borough,2547,187,439,557,625,646,1249,1441
Alaska,Hoonah-Angoon Census Area,2135,63,327,426,601,653,1051,1355
Alaska,Juneau City and Borough,32099,1260,2773,3670,4493,5053,9059,13888
Alaska,Kenai Peninsula Borough,58809,3164,9557,11339,14661,15947,24162,32805
Alaska,Ketchikan Gateway Borough,13833,607,1575,2174,2822,3187,5496,7744
Alaska,Kodiak Island Borough,13383,393,1317,1564,2513,2725,5172,7650
Alaska,Kusilvak Census Area,8298,1409,3958,4712,5507,5772,7144,7648
Alaska,Lake and Peninsula Borough,1156,76,269,337,421,441,690,831
Alaska,Matanuska-Susitna Borough,107360,5789,13932,17461,22496,24873,41341,57321
Alaska,Nome Census Area,10009,958,2725,3451,4176,4431,6011,6921
Alaska,North Slope Borough,9375,428,1177,1560,2086,2262,3814,4982
Alaska,Northwest Arctic Borough,7709,883,2313,2713,3438,3683,4853,5611
Alaska,Petersburg Borough,3278,65,240,401,488,613,1428,1800
Alaska,Prince of Wales-Hyder Census Area,6338,399,1528,1797,2111,2268,3205,4452
Alaska,Sitka City and Borough,8569,265,821,1094,1355,1623,2778,3980
Alaska,Skagway Municipality,1300,37,115,142,177,197,465,622
Alaska,Southeast Fairbanks Census Area,6911,442,1014,1185,1724,1965,3353,4115
Alaska,Wrangell City and Borough,2510,141,330,416,684,813,1151,1477
Alaska,Yakutat City and Borough,597,22,62,102,209,245,315,393
Alaska,Yukon-Koyukuk Census Area,5305,516,1497,1846,2300,2463,3478,4022
Arizona,Apache County,71714,13487,29830,34422,39660,42403,52572,59354
Arizona,Cochise County,126442,6555,25432,31818,41782,45845,65504,81074
Arizona,Coconino County,142254,10699,29383,35702,44872,48765,70349,87586
Arizona,Gila County,53846,4907,13883,16183,19938,22036,31910,38748
Arizona,Graham County,38304,3769,8840,9977,13488,14472,21946,26861
Arizona,Greenlee County,9465,638,1588,1887,2335,2701,4689,6566
Arizona,La Paz County,21035,2427,5796,7047,9363,10044,13840,16415
Arizona,Maricopa County,4412779,257624,726472,905392,1183491,1307963,2054703,2667503
Arizona,Mohave County,210998,14206,43970,54702,71161,78352,118238,150582
Arizona,Navajo County,110271,14244,34702,41812,50340,53005,73791,86825
Arizona,Pima County,1038476,74465,211219,261113,332986,361466,532021,672505
Arizona,Pinal County,447559,24356,70885,91764,119851,135522,222763,286311
Arizona,Santa Cruz County,46594,3344,13530,16925,21548,23502,31244,36954
Arizona,Yavapai County,232396,12260,39561,51255,66304,73543,118340,151428
Arizona,Yuma County,211931,16334,51507,65455,84947,91415,130799,158131
Arkansas,Arkansas County,17761,1033,4120,4839,6044,6531,9692,12700
Arkansas,Ashley County,20000,1226,5314,6842,8332,9046,12261,14693
Arkansas,Baxter County,41673,1610,7967,10219,13880,15304,25542,31066
Arkansas,Benton County,273510,8814,31837,44566,63013,69875,116620,157869
Arkansas,Boone County,37525,1994,6757,8754,12437,13568,21760,27719
Arkansas,Bradley County,10805,818,2754,3279,4325,4664,6638,7943
Arkansas,Calhoun County,5160,383,945,1174,1619,1866,2748,3572
Arkansas,Carroll County,28062,1683,5538,6811,9257,10759,16373,20795
Arkansas,Chicot County,10433,1504,3297,4310,5316,5728,7072,7916
Arkansas,Clark County,22341,2002,5323,6622,8250,9027,11867,14877
Arkansas,Clay County,14710,1075,3973,4801,5982,6452,9895,11883
Arkansas,Cleburne County,25063,1356,4565,6178,8389,9224,15323,18921
Arkansas,Cleveland County,8063,576,1358,2543,3044,3240,4702,5917
Arkansas,Columbia County,23620,2994,6505,8028,9498,10606,14308,16937
Arkansas,Conway County,20895,1196,5305,7116,8456,9008,12083,15305
Arkansas,Craighead County,109081,7790,24021,28416,36471,40027,59136,73501
Arkansas,Crawford County,63118,4788,13978,18220,23532,25542,35805,45229
