cmte_id,amndt_ind,rpt_tp,transaction_pgi,image_num,transaction_tp,entity_tp,name,city,state,zip_code,employer,occupation,transaction_dt,transaction_amt,other_id,cand_id,tran_id,file_num,memo_cd,memo_text,sub_id
C00725820,N,30R,P2024,202102049425015900,24A,ORG,SUMMIT STRATEGIC COMMUNICATIONS LLC,PARK CITY,UT,840987502,NA,NA,NA,6585,S8MO00160,S8MO00160,500089221,1498464,NA,NA,4020620211121398e3
C00725820,N,30R,P2024,202102049425015900,24A,ORG,SHUTTERSTOCK,NEW YORK,NY,101182100,NA,NA,NA,1937,S8MO00160,S8MO00160,500089243,1498464,NA,NA,4020620211121398e3
C00749101,N,30R,P2024,202102049425073820,24A,ORG,"GRASSROOTS MEDIA, LLC",BALA CYNWYD,PA,19004,NA,NA,NA,1088,S8MO00160,S8MO00160,SE.6413,1498608,NA,NA,4022420211188852700
C00448696,N,M2,P2024,202102199428655870,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,NA,25750,S8MO00160,S8MO00160,E1D4AFC8D036444288D3,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655870,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,NA,51500,S8MO00160,S8MO00160,E112BC37CF0A6440B944,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655870,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,NA,51500,S8MO00160,S8MO00160,E1FC4DDF89BC045D5B56,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,RIGHT COUNTRY LISTS,ALEXANDRIA,VA,223143109,NA,NA,NA,25900,S8MO00160,S8MO00160,E989F53EC66FD426987D,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655870,24E,ORG,RIGHT COUNTRY LISTS,ALEXANDRIA,VA,223143109,NA,NA,NA,25900,S8MO00160,S8MO00160,EA65313AA5C8848F587A,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,ORG,ALLIANCE STRATEGIES GROUP INC.,BOCA RATON,FL,334871358,NA,NA,NA,51500,S8MO00160,S8MO00160,E1A9777C69EDB405B980,1501126,NA,NA,4022320211164077e3
C00448696,N,M2,P2024,202102199428655900,24E,PAC,SENATE CONSERVATIVES FUND,WASHINGTON,DC,200031021,NA,NA,NA,1948,S8MO00160,S8MO00160,EE6D34444197A449FBF5,1501126,NA,NA,4022320211164077e3
